id,pattern_index,pattern_no,pattern_name_ja,summary_ja,context_ja,b_problem_ja,problem_ja,b_solution_ja,solution_ja,consequence_ja,unit_no チャートにしたときに軸に紐づくか入れてください。,category_id 紐づくカテゴリーのIDを入れてください。,group_id 紐づくグループのIDをいれてください。
1,1,A0,実践体得,試行錯誤しながら理解を深め、 身につけていく。,自分たちの店・事業・仕事で、価値創造マーケティングを実践してみたいと考えている。,本を読んだり話を聞いたりしただけでは、自分で実践できるような理解に至ることはできない。,“実践知”は、誰かが教えてくれる知識を受け取って覚えるという学び方ではなく、自らの実践のなかで体得する必要がある。そのため、理論や事例は、あくまでも自分の実践のための補助に過ぎないと捉えるべきである。,理論や事例を参考にしながら自分で実践していくことで、自分なりの答えを見つける力をつけるようにする。,習得のためには、まず 【一歩踏み出す】 ことが不可欠である。そして、理論や事例を学びながら、【自分なりに実践を重ねる】 ように心がける。ある程度の成果を出していけるようになったら、一つひとつの実践だけではなく、より大きな仕組みや系などに目を向け、【本質を捉えて動く】 ことに挑戦していく。自分の実践こそが、自分にとっての最高の教材であると考えるとよいだろう。,自分で実践できる力を身につけ、結果を出し続けていくことができるようになる。こうして、お客さんの 《心を動かす》 ことができ、お客さんにとって 《特別な存在》 になることができるようになると、商売も人生も充実したものになっていくだろう。,0,1,1
2,2,A1,まずは動く,やってみなければ、 何も始まらない。,価値創造マーケティングを実践してみようと思っている。,内容を完全に理解したり、完璧な体制・環境を準備したりしてからと思っていると、なかなか始めることができない。,実践知は、実際にやってみて 《実践体得》 しないと、理解が深まらないものである。そのため、しっかりと頭で理解してから始めようと思っても、そのときはいつまでも来ないので、結局何もできず、理解も深まらないということになってしまう。また、実践するための体制や環境を先に整えようと思っても、それが叶わず、始められないということが起きやすい。そうやって、計画ばかりしているという状況から前に進めないということは多い。,まずは、今の自分にできそうなことを見つけ、どんどん動いていくようにする。,とにかくまずは〈ピンとくるもの〉を見つけて、動き始めてみるようにする。コストや組織内のルールなどが制約になり、やりたいことができない場合には、その制約のなかでも 〈できる範囲のこと〉 を少しずつやっていくようにする。できることを考えてもよくわからない場合には、〈先輩への相談〉 から始めて、実践のヒントを得てみるとよい。,動き出し、実際の取り組みを始めてみると、目の前で変化が起きてくるので、次にやりたいことや、やるべきことなどが見えてくる。うまくいかなくても、それは学びにつながるので、恐れることはない。やってみると、やる前に感じていた不安は消え、実践していくことに積極的になっていくだろう。こうして実践を重ねていくことで、学び続けることができるようになっていく。,1,1,2
3,3,A2,まねぶ,「真似る」ことで「学ぶ」。,これから実践に入ろうとしていたり、少し実践し始めたりしている。,自分ひとりで考えてしまうと、成果につながる案を思いつける可能性は極めて低くなってしまう。,自分でやってみようという気持ちでゼロから考え、最初からオリジナリティを求めてしまうと、右も左もわからない状態のなか、どうしたらよいのかが見えてこないだけでなく、仮に実践しても、実践の効果や理解は得られにくいだろう。,他の人の成功している実践事例のなかから、気に入ったものやできそうなものを選び、まずはほぼそのまま真似してみることから始める。,まずは事例を眺め、真似したいと思うもの・これならできそうだと思うものを探してみる。事例は、自分と同じ業種だけから探すのではなく、〈業種・業態を超える〉 視点をもって探すとよい。選んだ事例のやり方のなかで、自分の商品・サービスや、店・会社と合わない部分がある場合には、〈自分の場合への置き換え〉 をしながら真似するようにする。自分が良いと感じる実践をしている人や店・会社など、〈なりたい人探し〉 をするのもよいだろう。,自分が考え出したものでなくても、自分の気持ちが動いたことから実践していくことで、自分の感性に合った取り組みで、歩みを進めることができる。成功している事例を真似することで、成功の確率が上がり、取り組みが成果につながる感覚を味わいやすくなるだろう。しかも、想定していたものと異なる結果になったときにも、真似をした元の事例と比較検討することで、自分の取り組み方について振り返り、改善することにつなげやすくなる。,1,1,2
4,4,A3,起きている変化,お客さんの行動に どんな変化が起きただろうか？,何かの実践をしてみた。,実践の効果を評価するときに、売り上げしか見ていないと、取り組みがもたらした効果を捉え損ねてしまう。,商売である以上、売り上げに意識が向くのは、自然なことである。しかし、取り組みがいきなり売り上げに目に見える変化をもたらすとは限らないので、それだけを見ていると目の前で起きている変化に気づけなくなってしまう。そうして、「効果が出ない」と判断し、実践をやめてしまっては、せっかくの成長への道を途中で降りることになってしまう。,実践した取り組みや働きかけの効果を確認するときには、お客さんの反応や行動がどのように変わったかに着目する。,まず、お客さんの 〈行動の変化〉 を見逃さないようにし、店やお客さんの 〈空気の変化〉 も感じ取るようにする。それらは、目指す変化が始まっているということの表れである。それらの変化がわかるようになると、実践を始めたことによる〈自分の変化〉 も感じることができるだろう。実践を始めてから変化が起きるまでに時間がかかることもあるので、変化が起きるまでの 〈時間差の織り込み〉 もしておくようにする。一部の人からネガティブな反応が来るかもしれないが、必要な調整・改善はするとしても 〈へこまず続ける〉 ようにする。,普段なら見過ごしていた、お客さんの行動や空気が変わっていることに気づくことができるようになる。それまで数字ばかりを見ていた人には、今までとはまったく異なる視点で物事を見られるようになるため、視野が広がり、発想も柔軟になっていくだろう。取り組みの結果を適切に捉えられるようになると、今回はどうだったのか、次にどうするかという検証も適切にできるようになり、実践の精度を上げていくことができる。,1,1,2
5,5,A4,考えながら繰り返す,「なぜ」を問い続けると、 勘所がつかめてくる。,いろいろと実践を重ねている。,単に実践しているだけでは、その効果は得られたとしても、その効果がどうやって起きているのかはわからず、実践の勘所をつかむことはできない。,何か取り組みを行えば、その効果や手応えを感じることはできる。しかし、その結果がなぜ起きたのかを理解しなければ、その実践についての理解は深まらず、実践の勘所はつかめないままで、次の展開につなげていくことができない。,何か取り組みをするときには、そうする理由を考え、結果が出たときには、なぜそれが起こったのかを考えることで、「こうしたら、こうなる」という感覚を磨いていく。,ただやみくもに実践するのではなく、〈なぜそれをやるのか〉 をきちんと考えるようにする。また、結果を振り返り 〈なぜそうなったのか〉 を考える。時間をかけて何度も実践をしていくときに、頭の中だけで考え続けて思考を深めることには限界があるので、〈考えるための書き出し〉 をしてみるとよい。実践をしたのに、変化が何も感じられないときは、〈反応がないことも反応〉 だと捉えて、反応がない理由を考え、次に活かすようにする。,「実践をすると結果が出る」という経験から、「働きかけて結果を生み出す」という感覚に変わり、自ら変化を起こすという勘所がつかめるようになる。この実践をしたら、こういうことが起きるだろうと、ある程度予想ができるようになってくると、取り組みについて吟味・判断するときの精度が上がり、成長が速まる。このように「なぜ」を考え続けることは、いずれ必要になってくる《本質をつかむ》 ことへの土台となり、効果的に 《実践体得》 しやすくなる。,2,1,3
6,6,A5,オリジナルな取り組み,変化が生まれて来たら、 自分なりの工夫を入れていく。,いろいろな取り組みにチャレンジしてきて、ある程度手応えを感じるようになってきた。,他の人の事例から 《まねぶ》 ことは、ある程度の成果を生み、手応えを感じられるものの、そればかりでは自分の店や会社らしい取り組みをつくっていく力は身につかない。,たしかに、他の人が実際にやって効果があったものというのは、導入するときに安心感があり、また実際に成功しやすいだろう。しかし、他の人がつくった事例のやり方をアレンジする経験だけでは、自分の店や会社らしい発想で取り組みをつくるという力を磨いていくことはできない。,自分ならではのアレンジやオリジナルの取り組みを少しずつ実践に織り混ぜて、自分たちらしく進化させていく。,自分ならではの新しさを考えるときには、日頃面白いと思っていることややってみたいと思っていることなど、自分の 〈好きを入れていく〉 とよい。そのとき、いきなり大々的に始めるのではなく、〈小さく始めて反応を見る〉 というのもよいだろう。また、業種・業態の常識から考えると「唐突」だと思って躊躇してしまうことでも、お客さんからは反響があり好評であることもあるので、〈唐突でもよい〉 と考え、思い切ってやってみるのもよいだろう。,取り組みに自分らしさを入れ込んでみると、真似だけをしているときよりも、やってみたいと思えることが浮かびやすく、実践が楽しいと感じやすくなる。また、自分で考えようとすることで、事例を見る目がこれまでと変わってくるため、事例の裏にある本質やロジック、事例同士の共通項などに気がつけるようになるだろう。,2,1,3
7,7,A6,飛躍の前の伸び悩み,いま伸び悩んでいるのは、 ここから一気にレベルが上がる前ぶれである。,いくつもの実践が個々に成果を上げている。,なかなか目指している状態に至らないので、伸び悩みを感じ、自分自身やこの方法の限界なのではないかと考えてしまうことがある。,先が見えないチャレンジは、なかなか辛いものである。そういうとき、「この方法は自分の業界には向かないのではいか」とか「自分に合わないのではないか」など、できない理由を探して自分を納得させようとしがちである。そういうときに他の人がすごい成果を上げていると聞くと、気持ちが焦って、ネガティブなスパイラルに陥って、もうやめようという気持ちが強くなってしまうかもしれない。,伸び悩んでいると感じるときは、今は実践知習得のS字カーブの上昇の手前にいる時期なのだと捉え、そのまま地道に実践を重ねていく。,今足踏みをしているように感じているのは、 〈悩みのレベル〉 が上がったからかもしれない。そういうときは、何か新しいことやレベルの高いことをしようとするのではなく、〈そのまま続けていく〉 ことが大切である。とはいえ、ずっと走り続けるのがつらければ、〈たまには休んでもよい〉 と考え、充電の時間を持つのもよい。先輩たちの話を聞いて 〈この先にある世界〉 を感じると、このあとS字カーブ状に習得が進むことがわかり、安心して取り組んでいくことができるだろう。,自分の状況を正しく認識し、あきらめずに実践を重ねていくことで、ある日突然飛躍が起こり、霧が晴れるように見える世界が一気に変わり、それに伴い、結果も変わってくる。また、ここを乗り切ることで、実践知を習得していくことの感覚や自信が得られ、今後も壁を越えていける精神力をつけることができる。こうして、より大きな成果を生み出すことにつながっていくのである。,2,1,3
8,8,A7,本質をつかむ,意図して結果をつくれるようになると、 成果が持続するようになる。,一つひとつの取り組みは成功することが増えてきた。,結果は出せていても、出ている結果を意図的につくることができていないと、別の状況で再現したり、展開したりすることができるようにならない。,ただ実践しているだけでは、いつまでたっても、そこで起きていることのメカニズムを深く理解して、次に活かすことができない。また、それを説明したりすることもできないままである。,成功事例において、何がどのように効いて効果が出たのかというロジックを、理論を踏まえて捉えるようにする。,実践知の理解を深めるためには、理論の理解だけでも実践だけでもだめで、〈理論と実践の往復〉 をしながら考えていくことが大切となる。この往復をしていくことで、実践で起こったことの本質を捉えられるようになり、応用する力も得ることできる。他の人の事例に触れるときにも、〈事例の本質〉 をつかむようにする。ある程度の成果が出せるようになってきたら、以前触れたものであっても 〈同じ理論に何度でも〉 触れるようにすると、新たな気づきを得ることができる。,意図して結果をつくることができるようになり、別の状況で再現したり、さらに大きく展開したりすることもできるようになる。このような力が身につくと、あらゆるものが事例として見え、アイデアの種も日々増えるようになる。そうすると、成果と成長が持続するようになり、将来に対する不安もなくなっていく。,3,1,4
9,9,A8,全体のつながり,流れが途切れたり、 滞ったりしているところは、どこだろう？,個々の取り組みがうまくいくロジックもつかめるようになってきた。,個々の実践は成果を生んでいるが、自分で大きくビジネスを動かせているという感覚が持てないことがある。,例えば、お客さんに商品・サービスを買ってもらうことはできたとしても、そのお客さんが店・会社のファンになるまでの過程のなかで、途中でうまくフォローできていない部分があったり、滞りがあったりして、全体としてうまく流れていかないということがあるかもしれない。そういう状況では、全体のハンドルを握っているという感じは持てないだろう。,お客さんの心が動き、長く続く関係に発展していくような流れが途切れずにつながっていくように、全体の仕組みに目を向ける。,全体的な流れを捉えるときには、いろいろなところに 〈実践の散りばめ〉 をして、それらの間のつながりを考えると、流れがつかみやすくなる。そのとき、お客さんの《心を動かす》 ことと、《特別な存在》 になるということの両面から考えていくことが重要になる。そのなかで、足りない要素が見えてきたら、〈ミッシング・ピースを埋める〉 ような施策を考える。,お客さんの行動やお客さんとの関係の発展がスムーズに流れていくために何が必要かがわかり、次にやるべき取り組みが見えてくる。一度、その全体の仕組みが見えると、その後の新しい取り組みは、全体の仕組みとの関係で位置づけて考えられるようになり、実践の精度が上がっていくだろう。そうすると、自分がハンドルを握って、全体を動かしているという感覚がもてるようになる。,3,1,4
10,10,A9,系の感覚,世の中は、 「系」（システム）としてできている。,自分たちの実践を通じて業績が上がり、手応えも感じている。,見えている範囲のさらに外に広がっている世界における物事のつながりを捉えていない状態では、自分たちが成し遂げていることをきちんと理解していないということになる。,世の中のすべての物事はつながっていて、その関係性や相互作用で世界が成り立っている。そういうことが見えていないと、今はうまくできていても、将来歪みが生じたり、本来なら受け取れるものも受け取れなくなったりしてしまう。,自分が取り組んでいる商売の世界は、いろいろな物事がつながって、ひとつの「系」（システム）として存在し、そこで連鎖・循環が起きているという認識をもつ。,自分の周囲にあるより広い範囲のつながりを感じ、想像力を用いてその 〈目には見えないネットワーク〉 を思い描くことで、そこに、「系」（システム）があると捉えるのである。系が見えてくると、部分的な影響だけではなく、どのような相互作用や波及効果をもち得るのかがわかるようになる。そうなると、系のなかでの 〈意外な影響要素〉 や効果の連鎖、良い循環を生み出すためには何をすればよいかが見えてくるだろう。,すべてがつながって動いているということに気づき、「世の中はこうやってできていたんだ！」と、世界の見え方が変わる。そうなると、系に働きかけ、循環を促すことができるようになる。そして、大きな判断も迷いなくすることができるようになり、次第に自分らしい商売・事業が「揺るがないもの」となって、安定的に動き続けるようになっていく。そうなると、周囲に生かされながら生きているという謙虚な気持ちも持ちながら、愉しく仕事を続けていくことができるようになる。,3,1,4
