id,pattern_no,pattern_name_ja,solution_ja,pattern_id 紐づくパターンのIDを入れてください。
1,1,ピンとくるもの,はじめが肝心だと思うと、何から始めたらよいかわからなかったり、結果が出るのかを考え込んでしまったりして、なかなか実践に踏み出せないことがある。そういうときには、「これやってみたい」「これ面白そう」と思うことを見つけ、あれこれ考え込まずに、まずは実践を始めてみる。最初から最短ルートで確実に大きな成果をあげるということを目指してしまうと、動き出せなくなるので、まずは気が向いたものから実践して、その結果から学ぶということが出発点だということを理解することが大切である。,2
2,2,できる範囲のこと,周囲の理解や組織的な制約などによって、容易に実践を始められないときもあるだろう。そういうときには、稟議が必要にならないような、自分の裁量でできる範囲のことなど、すぐにできることを見つけてみるとよい。,2
3,3,先輩への相談,自分ひとりでは何から始めればいいのか決められないときには、実践を進めている先輩に、自分の状況や悩みなどを話して、何から始めたらよいかのアドバイスをもらい、それをヒントにして最初の取り組みを決めるようにする。,2
4,4,業種・業態を超える,いろいろな事例を見ても、自分の店・会社とは遠い事例ばかりで、そのまま真似できそうなことが見つからないと感じるかもしれない。しかし、その事例の「何をどう置き換えれば自分のケースと重なってくるか」や「自分の状況で似ているところはないか」を探すことで、他業種や他業態の事例も自分事として捉え、《まねぶ》ことができる。,3
5,5,自分の場合への置き換え,業種・業態が違う事例などを真似するときには、自分の店・会社や、扱っている商品・サービスの内容に合うように置き換えて真似するようにする。例えば、店舗での事例を、ウェブショップで真似するときには、リアルな場でのことを、ウェブ上だとどう実現できるかを置き換えて考える。,3
6,6,なりたい人探し,単体の事例から《まねぶ》だけでなく、自分もこうなりたいと思う人や店・会社のモデルを見つけ、その人や店の軌跡ややっていることを真似てみることで、自分のなりたい姿に近づいていきやすくなる。,3
7,7,行動の変化,実践の効果を確認するときには、働きかけたことによって、お客さんにどんな行動の変化が起こっているのかを、実践前と比べてつかむようにする。例えば、問い合わせの数やその内容がどう変化したか、また店頭であれば、立ち止まる人や手に取る人がそれぞれどう増えたかなどを丁寧に見ていく。,4
8,8,空気の変化,〈行動の変化〉 だけではなく、従業員やお客さんの表情、店・会社全体が醸し出す雰囲気の変化も、実践に対する反応のひとつとして、意識的に読み取るようにする。例えば、かけられる声の内容がなんとなく変わってきたり、またお客さんから「店の雰囲気が明るくなった」など言われたりしたら、それは実践の効果であると捉える。,4
9,9,自分の変化,〈行動の変化〉 や 〈空気の変化〉 を意識できるようになると、自分の着眼点や考えることが変わってくるものである。そのような自分自身の変化にも目を向けると、実践による習得が進んでいることを実感できる。,4
10,10,時間差の織り込み,取り組みによっては、結果が出るのに時間がかかるものもあるので、時間がかかるということを織り込み、焦らずに変化を見るようにする。そうすることで、すぐに反応が起きることを期待してしまい正しく検証ができなかったり、長期スパンという観点が抜け落ちて、やることが狭まってしまったりすることを防ぐことができる。,4
